,base_time,id_device,imu_mean,weight_slope,weight_mean,temperature_mean,stage
131,6655,1,0.4032125476617606,-0.023969891501273367,2853.147946869881,17.0,2.0
132,6705,1,0.39956838110379345,0.07798654840555695,2874.950991203009,17.0,2.0
133,6755,1,0.38396349363450194,0.3251850974795675,2887.4977556741514,17.0,3.0
134,6804,1,0.7746949683473667,0.3357472830706733,2903.4516665960264,17.0,3.0
135,6854,1,0.885940998398764,0.619841137976628,2932.7754258951018,17.0,3.0
136,6904,1,0.9983025232953431,0.26798531615057103,2931.743103053169,17.0,3.0
137,6953,1,1.046695447610345,0.1271719477646835,2944.630152580634,17.0,3.0
138,7003,1,0.7115333500546825,0.027514734610617386,2949.7464396694804,17.0,3.0
139,7053,1,0.6596593446593787,0.05013420968928612,2941.689435588866,17.0,3.0
140,7102,1,0.6429610656825895,0.7942757906205898,2941.177731689977,17.0,3.0
141,7152,1,0.70145435740344,0.814735165253593,2974.9424233738428,16.1584207896052,3.0
142,7202,1,0.7459393278995703,0.8596123967263016,3015.1940033816345,14.039230384807595,4.0
143,7251,1,0.7430425503730791,0.555421250140537,3055.2914965612545,11.390304847576212,4.0
144,7301,1,0.7799318268701196,0.00554635316428013,3094.573932487518,8.412293853073463,4.0
145,7351,1,0.709955642531063,-0.6906174272686222,3085.6810478325765,6.025237381309346,4.0
146,7400,1,0.6292676154669524,-0.9778077592500616,3038.18450142442,5.235632183908046,4.0
147,7450,1,0.5303585208554095,-0.6430152483717243,2989.953916189965,5.409045477261369,5.0
148,7500,1,0.41926872236171975,-0.6155969720770063,2957.600287062985,6.2368815592203894,5.0
149,7549,1,2.01342512303409,-0.7026023730192557,2923.899255451335,7.484257871064468,5.0
150,7599,1,1.9690532363379438,-14.274239191061993,2565.856063343508,8.44352823588206,5.0
151,7649,1,2.2321314964694805,-14.645965425963553,1854.6180048452056,9.044727636181909,5.0
152,7698,1,2.50490635935138,-14.4753306651355,1130.774983854503,9.35832083958021,5.0
153,7748,1,1.062819991438794,-13.96476340613334,415.06857256565786,9.544727636181909,5.0
154,7798,1,1.1065157348831212,0.006800311270985409,60.55865933827529,10.046476761619191,5.0
155,7847,1,0.9243603289118821,0.05360670906170396,62.847052755366455,10.875812093953023,6.0
156,7897,1,1.0585968818458762,-0.10130810257330813,59.928990942956894,11.964267866066967,6.0
157,7947,1,1.1225100201638905,0.013817653752746966,59.74648277203037,13.418290854572714,6.0
158,7996,1,1.2380114206111736,0.03884858672892713,60.982366986128405,14.835832083958021,6.0
159,8046,1,1.1593631357188252,-0.016116649802088535,59.7540664262981,16.04597701149425,6.0
160,8096,1,0.9473076916058375,-0.03351926477542458,61.622480566137625,17.044477761119442,6.0
161,8145,1,1.1529999400482207,0.011478539592159753,62.589996329099456,17.759370314842577,6.0
162,8195,1,1.3572020033631857,-0.06354191559945621,60.49112243111793,18.36581709145427,6.0
163,8245,1,1.6029570981972647,-0.13834533958029552,59.3409883462677,19.097451274362818,6.0
164,8294,1,1.4408672200239592,-0.015457445123055403,56.15063335605796,20.168915542228884,6.0
165,8344,1,1.0493468651145101,-0.030866661088160913,54.662651903564274,21.20214892553723,6.0
166,8394,1,0.7692184924483934,-0.03541802681057765,53.420999131483626,22.173413293353324,6.0
167,8443,1,0.587245555916551,0.08237540177902863,52.42102235896907,22.902548725637182,6.0
168,8493,1,0.6136586205843333,-0.015553903438956112,52.78039705590426,23.205897051474263,6.0
169,8543,1,0.6523245652850248,-0.023523553229096203,51.6874552661379,23.41504247876062,6.0
